tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM_TKM2,BE32	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 
MWAY,KM_TKM2,BE33	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 
MWAY,KM_TKM2,BE34	35 	35 	35 	35 	35 	35 	35 	35 	35 	35 	35 	35 
MWAY,KM_TKM2,BE35	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 
MWAY,KM_TKM2,BG31	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,BG32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,BG33	6 	6 	6 	6 	6 	6 	6 	6 	7 	7 	7 	7 
MWAY,KM_TKM2,BG34	4 	4 	4 	4 	4 	9 	10 	11 	12 	11 	11 	11 
MWAY,KM_TKM2,BG41	6 	6 	6 	6 	7 	7 	8 	8 	11 	11 	11 	12 
MWAY,KM_TKM2,BG42	6 	6 	6 	6 	6 	6 	6 	7 	9 	9 	9 	9 
MWAY,KM_TKM2,CH01	34 	34 	34 	34 	34 	34 	34 	34 	41 	39 	39 	42 
MWAY,KM_TKM2,CH02	33 	33 	33 	33 	33 	34 	34 	35 	43 	42 	44 	45 
MWAY,KM_TKM2,CH03	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 	72 
MWAY,KM_TKM2,CH04	67 	67 	81 	81 	83 	83 	83 	83 	91 	87 	87 	91 
MWAY,KM_TKM2,CH05	21 	21 	21 	21 	21 	21 	21 	21 	34 	33 	33 	34 
MWAY,KM_TKM2,CH06	42 	42 	42 	42 	42 	42 	42 	42 	61 	58 	58 	61 
MWAY,KM_TKM2,CH07	40 	40 	40 	40 	40 	40 	40 	40 	50 	49 	49 	51 
MWAY,KM_TKM2,CY00	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 
MWAY,KM_TKM2,CZ01	23 	23 	22 	22 	22 	22 	23 	22 	23 	89 	89 	91 
MWAY,KM_TKM2,CZ02	18 	18 	18 	18 	18 	18 	18 	18 	18 	31 	32 	33 
MWAY,KM_TKM2,CZ03	7 	7 	7 	7 	7 	7 	9 	9 	9 	9 	9 	10 
MWAY,KM_TKM2,CZ04	6 	6 	6 	6 	7 	7 	7 	7 	7 	15 	15 	16 
MWAY,KM_TKM2,CZ05	2 	2 	2 	2 	2 	2 	2 	2 	2 	3 	3 	3 
MWAY,KM_TKM2,CZ06	17 	17 	17 	17 	17 	17 	17 	17 	17 	18 	18 	18 
MWAY,KM_TKM2,CZ07	1 	3 	4 	5 	6 	6 	6 	6 	6 	17 	17 	18 
MWAY,KM_TKM2,CZ08	3 	5 	10 	10 	10 	11 	11 	11 	11 	18 	18 	19 
MWAY,KM_TKM2,DE11	: 	37 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE12	: 	38 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE13	: 	30 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE14	: 	12 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE21	: 	34 	34 	34 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE22	: 	23 	23 	23 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE23	: 	35 	35 	35 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE24	: 	48 	48 	48 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE25	: 	49 	49 	49 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE26	: 	41 	41 	41 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE27	: 	26 	27 	27 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE30	82 	86 	86 	86 	87 	86 	86 	86 	86 	86 	86 	91 
MWAY,KM_TKM2,DE40	27 	27 	27 	27 	27 	27 	27 	27 	27 	27 	27 	28 
MWAY,KM_TKM2,DE50	176 	186 	186 	186 	179 	179 	179 	191 	191 	191 	191 	205 
MWAY,KM_TKM2,DE60	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	114 
MWAY,KM_TKM2,DE71	: 	64 	64 	64 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE72	: 	37 	37 	37 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE73	: 	35 	35 	35 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE80	23 	23 	24 	24 	24 	24 	24 	24 	24 	24 	25 	26 
MWAY,KM_TKM2,DE91	: 	34 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE92	: 	25 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE93	: 	19 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DE94	: 	37 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEA1	: 	121 	123 	123 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEA2	: 	76 	76 	76 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEA3	: 	52 	52 	52 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEA4	: 	29 	29 	29 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEA5	: 	56 	56 	56 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEB1	: 	32 	32 	32 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEB2	: 	37 	37 	38 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEB3	: 	63 	63 	63 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEC0	93 	93 	93 	93 	93 	93 	93 	93 	93 	93 	93 	94 
MWAY,KM_TKM2,DED2	27 	27 	27 	27 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DED4	31 	31 	31 	31 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DED5	28 	28 	28 	28 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,DEE0	19 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	25 
MWAY,KM_TKM2,DEF0	32 	32 	34 	34 	34 	34 	34 	34 	34 	34 	34 	35 
MWAY,KM_TKM2,DEG0	29 	30 	31 	31 	31 	31 	32 	32 	32 	32 	32 	32 
MWAY,KM_TKM2,DK01	61 	61 	61 d	61 	62 	63 	63 	62 	64 	64 	65 	69 
MWAY,KM_TKM2,DK02	36 	36 	36 d	36 	36 	36 	37 	37 	37 	37 	37 	38 
MWAY,KM_TKM2,DK03	26 	27 	27 d	27 	27 	30 	31 	31 	31 	31 	31 	32 
MWAY,KM_TKM2,DK04	14 	15 	15 d	15 	15 	17 	17 	19 	19 	20 	24 	26 
MWAY,KM_TKM2,DK05	24 	24 	24 d	24 	24 	24 	24 	24 	24 	24 	24 	24 
MWAY,KM_TKM2,EE00	2 	2 	2 	3 	3 	3 	3 	3 	3 	3 	4 	4 
MWAY,KM_TKM2,ES11	28 	31 	32 	33 	34 	34 	35 	35 	37 	37 	37 	38 
MWAY,KM_TKM2,ES12	35 	37 	37 	37 	37 	39 	41 	43 	43 	43 	43 	43 
MWAY,KM_TKM2,ES13	39 	41 	41 	41 	41 	43 	43 	43 	48 	48 	48 	48 
MWAY,KM_TKM2,ES21	68 	71 	73 	74 	77 	74 	74 	66 	68 	69 	69 	69 
MWAY,KM_TKM2,ES22	31 	33 	34 	34 	36 	36 	36 	36 	37 	37 	37 	37 
MWAY,KM_TKM2,ES23	31 	32 	32 	32 	32 	33 	33 	35 	36 	36 	36 	36 
MWAY,KM_TKM2,ES24	13 	14 	14 	15 	16 	16 	16 	16 	16 	17 	17 	17 
MWAY,KM_TKM2,ES30	94 	94 	95 	95 	98 	97 	98 	98 	98 	96 	96 	96 
MWAY,KM_TKM2,ES41	19 	21 	23 	23 	23 	24 	24 	24 	25 	25 	25 	25 
MWAY,KM_TKM2,ES42	19 	20 	21 	23 	22 	23 	23 	23 	23 	23 	23 	23 
MWAY,KM_TKM2,ES43	15 	16 	16 	16 	17 	17 	17 	17 	17 	17 	17 	17 
MWAY,KM_TKM2,ES51	40 	37 	40 	38 	40 	40 	45 	46 	45 	45 	46 	46 
MWAY,KM_TKM2,ES52	49 	47 	47 	48 	49 	49 	50 	49 	49 	51 	51 	51 
MWAY,KM_TKM2,ES53	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 
MWAY,KM_TKM2,ES61	26 	27 	27 	28 	28 	28 	28 	29 	30 	29 	30 	30 
MWAY,KM_TKM2,ES62	40 	44 	46 	47 	47 	48 	50 	50 	51 	51 	53 	53 
MWAY,KM_TKM2,ES63	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,ES64	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,ES70	29 	29 	29 	29 	29 	31 	31 	32 	33 	34 	36 	37 
MWAY,KM_TKM2,FI19	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
MWAY,KM_TKM2,FI1B	28 	28 	31 	31 	31 	31 	31 	35 	35 	34 	34 	35 
MWAY,KM_TKM2,FI1C	8 	9 	9 	9 	9 	9 	9 	10 	10 	9 	9 	11 
MWAY,KM_TKM2,FI1D	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 
MWAY,KM_TKM2,FI20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FR10	51 	50 	50 	50 	51 	51 	51 	51 	51 	51 	51 	51 
MWAY,KM_TKM2,FRB0	23 	23 	25 	25 	25 	25 	25 	25 	25 	25 	25 	25 
MWAY,KM_TKM2,FRC1	22 	22 	22 	22 	22 	22 	22 	22 	22 	22 	22 	22 
MWAY,KM_TKM2,FRC2	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 
MWAY,KM_TKM2,FRD1	14 	14 	14 	16 	16 	16 	16 	17 	16 	16 	16 	16 
MWAY,KM_TKM2,FRD2	35 	35 	35 	35 	35 	35 	35 	35 	36 	36 	36 	36 
MWAY,KM_TKM2,FRE1	48 	51 	51 	51 	51 	51 	51 	51 	51 	50 	50 	50 
MWAY,KM_TKM2,FRE2	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	28 	29 
MWAY,KM_TKM2,FRF1	36 	36 	36 	37 	37 	37 	37 	37 	36 	36 	36 	36 
MWAY,KM_TKM2,FRF2	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	21 
MWAY,KM_TKM2,FRF3	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
MWAY,KM_TKM2,FRG0	22 	23 	23 	23 	23 	23 	23 	23 	23 	23 	23 	23 
MWAY,KM_TKM2,FRH0	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
MWAY,KM_TKM2,FRI1	15 	15 	15 	19 	19 	19 	21 	19 	21 	21 	21 	21 
MWAY,KM_TKM2,FRI2	15 	15 	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 
MWAY,KM_TKM2,FRI3	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 	12 
MWAY,KM_TKM2,FRJ1	19 	20 	20 	21 	21 	21 	21 	21 	21 	21 	21 	22 
MWAY,KM_TKM2,FRJ2	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 
MWAY,KM_TKM2,FRK1	14 	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 
MWAY,KM_TKM2,FRK2	27 	27 	27 	28 	28 	28 	29 	29 	29 	29 	29 	29 
MWAY,KM_TKM2,FRL0	24 	24 	24 	24 	24 	24 	24 	24 	24 	24 	24 	24 
MWAY,KM_TKM2,FRM0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FRY1	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FRY2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FRY3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FRY4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,FRY5	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,HR03	23 	24 	24 	24 	25 	25 	26 	26 	26 	26 	26 	27 
MWAY,KM_TKM2,HR04	19 	19 	20 	20 	20 	20 	20 	20 	21 	21 	21 	21 
MWAY,KM_TKM2,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120 
MWAY,KM_TKM2,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39 
MWAY,KM_TKM2,HU21	22 	23 	23 	24 	24 	24 	24 	24 	24 	24 	24 	24 
MWAY,KM_TKM2,HU22	12 	15 	15 	15 	15 	15 	15 	15 	16 	17 	17 	17 
MWAY,KM_TKM2,HU23	7 	9 	9 	21 	21 	21 	21 	21 	21 	21 	21 	22 
MWAY,KM_TKM2,HU31	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 	13 
MWAY,KM_TKM2,HU32	7 	7 	7 	7 	7 	7 	10 	11 	11 	11 	11 	13 
MWAY,KM_TKM2,HU33	8 	8 	8 	8 	10 	10 	10 	10 	11 	11 	11 	12 
MWAY,KM_TKM2,IE04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 
MWAY,KM_TKM2,IE05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 
MWAY,KM_TKM2,IE06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 
MWAY,KM_TKM2,IS00	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,ITC1	33 	33 	33 	33 	33 	33 	32 	32 	33 	33 	33 	33 
MWAY,KM_TKM2,ITC2	35 	35 	35 	35 	35 	35 	35 	35 	35 	35 	35 	34 
MWAY,KM_TKM2,ITC3	70 	70 	70 	70 	70 	70 	69 	69 	69 	69 	69 	68 
MWAY,KM_TKM2,ITC4	25 	26 	26 	26 	26 	26 	26 	28 	30 	30 	30 	31 
MWAY,KM_TKM2,ITF1	33 	33 	33 	33 	33 	33 	32 	32 	33 	33 	33 	33 
MWAY,KM_TKM2,ITF2	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 
MWAY,KM_TKM2,ITF3	33 	33 	33 	33 	33 	33 	32 	32 	32 	32 	32 	33 
MWAY,KM_TKM2,ITF4	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 
MWAY,KM_TKM2,ITF5	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
MWAY,KM_TKM2,ITF6	20 	20 	20 	20 	20 	20 	19 	19 	19 	19 	19 	19 
MWAY,KM_TKM2,ITG1	25 	26 	26 	26 	26 	26 	26 	26 	26 	26 	26 	26 
MWAY,KM_TKM2,ITG2	: 	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 	: 
MWAY,KM_TKM2,ITH1	29 	29 	29 	29 	29 	29 	29 d	29 d	29 d	29 d	29 d	28 
MWAY,KM_TKM2,ITH3	28 	28 	30 	30 	30 	32 	30 	31 	32 	32 	32 	34 
MWAY,KM_TKM2,ITH4	28 	28 	28 	28 	28 	28 	27 	27 	27 	27 	27 	32 
MWAY,KM_TKM2,ITH5	25 	25 	25 	25 	25 	25 	25 	25 	25 	25 	25 	26 
MWAY,KM_TKM2,ITI1	19 	19 	19 	19 	19 	20 	19 	19 	20 	20 	20 	20 
MWAY,KM_TKM2,ITI2	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 
MWAY,KM_TKM2,ITI3	18 	18 	18 	18 	18 	18 	18 	18 	18 	18 	18 	18 
MWAY,KM_TKM2,ITI4	28 	28 	28 	28 	28 	28 	27 	28 	29 	29 	29 	29 
MWAY,KM_TKM2,LI00	: z	: z	: z	: z	: z	: z	: z	0 	0 	0 	0 	0 
MWAY,KM_TKM2,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 
MWAY,KM_TKM2,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 
MWAY,KM_TKM2,LU00	57 	57 	59 	59 	59 	59 	59 	59 	62 	62 	64 	64 
MWAY,KM_TKM2,LV00	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,MT00	: z	: z	: z	: z	: z	: z	: 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,NL11	40 	40 	40 	41 	41 	41 	41 	41 	47 	37 	36 	45 
MWAY,KM_TKM2,NL12	56 	56 	58 	59 	58 	60 	60 	61 	62 	36 	36 	61 
MWAY,KM_TKM2,NL13	42 	42 	48 	48 	48 	48 	48 	48 	56 	55 	55 	55 
MWAY,KM_TKM2,NL21	40 	40 	44 	44 	45 	45 	45 	45 	45 	45 	45 	46 
MWAY,KM_TKM2,NL22	79 	79 	79 	79 	79 	79 	79 	79 	79 	77 	77 	79 
MWAY,KM_TKM2,NL23	70 	70 	70 	70 	70 	71 	73 	73 	73 	42 	42 	72 
MWAY,KM_TKM2,NL31	128 	128 	128 	128 	128 	128 	128 	128 	127 	121 	121 	125 
MWAY,KM_TKM2,NL32	106 	106 	106 	106 	106 	107 	109 	111 	111 	72 	73 	108 
MWAY,KM_TKM2,NL33	125 	125 	125 	128 	129 	129 	129 	129 	129 	108 	108 	127 
MWAY,KM_TKM2,NL34	47 	47 	36 	35 	36 	39 	38 	39 	40 	30 	30 	48 
MWAY,KM_TKM2,NL41	100 	100 	98 	100 	99 	100 	100 	100 	103 	99 	99 	102 
MWAY,KM_TKM2,NL42	85 	85 	102 	100 	100 	99 	99 	99 	99 	96 	98 	98 
MWAY,KM_TKM2,NO01	22 	22 	24 	25 	26 	29 	33 	36 	36 	34 	32 	: 
MWAY,KM_TKM2,NO02	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	: 
MWAY,KM_TKM2,NO03	3 	3 	4 	5 	5 	5 	5 	5 	7 	6 	6 	: 
MWAY,KM_TKM2,NO04	1 	1 	3 	3 	3 	2 	3 	3 	3 	2 	2 	: 
MWAY,KM_TKM2,NO05	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
MWAY,KM_TKM2,NO06	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
MWAY,KM_TKM2,NO07	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
MWAY,KM_TKM2,PL21	4 	4 	5 	5 	5 	9 	9 	10 	10 	10 	10 	10 
MWAY,KM_TKM2,PL22	6 	7 	8 	9 	11 	14 	14 	14 	14 	14 	14 	14 
MWAY,KM_TKM2,PL41	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 
MWAY,KM_TKM2,PL42	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
MWAY,KM_TKM2,PL43	0 	0 	0 	0 	6 	6 	6 	6 	6 	6 	6 	6 
MWAY,KM_TKM2,PL51	8 	8 	10 	10 	11 	11 	11 	11 	11 	11 	11 	11 
MWAY,KM_TKM2,PL52	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 
MWAY,KM_TKM2,PL61	0 	1 	1 	1 	5 	6 	8 	9 	9 	9 	9 	9 
MWAY,KM_TKM2,PL62	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,PL63	0 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 
MWAY,KM_TKM2,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	12 
MWAY,KM_TKM2,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
MWAY,KM_TKM2,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
MWAY,KM_TKM2,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	9 
MWAY,KM_TKM2,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
MWAY,KM_TKM2,PT20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,PT30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,RO11	0 	0 	1 	2 	2 	2 	2 	2 	2 	2 	2 	2 
MWAY,KM_TKM2,RO12	0 	0 	0 	0 	1 	1 	2 	3 	3 	3 	3 	4 
MWAY,KM_TKM2,RO21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,RO22	0 	0 	0 	0 	0 	2 	2 	2 	2 	2 	2 	2 
MWAY,KM_TKM2,RO31	7 	7 	7 	7 	7 	8 	8 	8 	8 	7 	7 	8 
MWAY,KM_TKM2,RO32	29 	29 	29 	29 	29 	44 	43 	43 	43 	41 	41 	47 
MWAY,KM_TKM2,RO41	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,RO42	0 	0 	0 	0 	0 	2 	4 	4 	6 	6 	7 	7 
MWAY,KM_TKM2,SE11	41 b	40 	46 	45 	46 	46 	47 	47 	48 	47 	48 	48 
MWAY,KM_TKM2,SE12	14 b	14 	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 
MWAY,KM_TKM2,SE21	6 b	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
MWAY,KM_TKM2,SE22	22 b	22 	22 	23 	23 	24 	25 	26 	26 	26 	26 	26 
MWAY,KM_TKM2,SE23	14 b	15 	15 	16 	16 	18 	19 	19 	19 	19 	20 	20 
MWAY,KM_TKM2,SE31	2 b	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
MWAY,KM_TKM2,SE32	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,SE33	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,SI03	: 	: 	: 	: 	: 	31 	31 	26 	26 	25 	26 	24 
MWAY,KM_TKM2,SI04	: 	: 	: 	: 	: 	49 	48 	37 	38 	38 	38 	42 
MWAY,KM_TKM2,SK01	54 	54 	54 	54 	56 	56 	55 	54 	54 	54 	54 	54 
MWAY,KM_TKM2,SK02	10 	10 	10 	11 	11 	11 	10 	10 	10 	10 	10 	10 
MWAY,KM_TKM2,SK03	4 	4 	4 	4 	4 	4 	4 	4 	5 	5 	6 	6 
MWAY,KM_TKM2,SK04	3 	4 	5 	6 	6 	6 	6 	6 	7 	7 	7 	7 
MWAY,KM_TKM2,TR10	41 	37 	36 	36 	36 	36 	58 	58 	58 	85 	85 	99 
MWAY,KM_TKM2,TR21	10 	10 	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 
MWAY,KM_TKM2,TR22	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	2 	3 
MWAY,KM_TKM2,TR31	14 	17 	17 	17 	18 	18 	18 	18 	19 	21 	21 	22 
MWAY,KM_TKM2,TR32	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
MWAY,KM_TKM2,TR33	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	1 	2 
MWAY,KM_TKM2,TR41	2 	2 	2 	3 	3 	3 	3 	3 	3 	5 	5 	5 
MWAY,KM_TKM2,TR42	14 	16 	16 	16 	16 	16 	16 	16 	16 	18 	18 	20 
MWAY,KM_TKM2,TR51	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 
MWAY,KM_TKM2,TR52	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR61	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR62	11 	11 	11 	11 	11 	11 	10 	10 	10 	10 	10 	11 
MWAY,KM_TKM2,TR63	8 	9 	8 	8 	8 	8 	8 	8 	8 	8 	8 	8 
MWAY,KM_TKM2,TR71	0 	0 	2 	2 	3 	4 	4 	4 	4 	4 	4 	4 
MWAY,KM_TKM2,TR72	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR81	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR82	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR83	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TR90	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM_TKM2,TRA1	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TRA2	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TRB1	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TRB2	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,TRC1	10 	10 	9 	9 	9 	9 	10 	10 	10 	9 	9 	10 
MWAY,KM_TKM2,TRC2	3 	3 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 
MWAY,KM_TKM2,TRC3	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM_TKM2,UKN0	8 	8 	8 	8 	9 	9 	8 	8 	8 	8 	8 	8 
